epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
99,11468.1,1.3294,1.39736,1.22016,0.48999,0.37835,0.36235,0.21302,1.33509,1.42465,1.21338,0.0005149,0.0005149,0.0005149
100,11584,1.3289,1.39611,1.22014,0.48899,0.37908,0.36249,0.21309,1.33532,1.42431,1.21339,0.00050995,0.00050995,0.00050995
101,11699.8,1.32536,1.39449,1.21741,0.4951,0.37791,0.36315,0.21319,1.33527,1.42342,1.21336,0.000505,0.000505,0.000505
102,11816,1.32471,1.38977,1.21612,0.4937,0.37891,0.36345,0.21315,1.33574,1.42245,1.2136,0.00050005,0.00050005,0.00050005
103,11932.2,1.32642,1.39312,1.21611,0.49141,0.37905,0.36307,0.21338,1.33516,1.4222,1.2132,0.0004951,0.0004951,0.0004951
104,12048.3,1.32865,1.3911,1.21888,0.49063,0.37968,0.36318,0.21349,1.335,1.42224,1.21311,0.00049015,0.00049015,0.00049015
105,12164.7,1.32369,1.38594,1.2159,0.49013,0.38057,0.36337,0.2135,1.33516,1.42195,1.21304,0.0004852,0.0004852,0.0004852
106,12280.7,1.32237,1.38744,1.21575,0.49195,0.37968,0.36394,0.21374,1.33522,1.42147,1.21305,0.00048025,0.00048025,0.00048025
107,12396.4,1.31848,1.38505,1.2148,0.49088,0.38131,0.36467,0.21397,1.33462,1.42136,1.21281,0.0004753,0.0004753,0.0004753
108,12512.3,1.3179,1.37208,1.21194,0.49005,0.38125,0.36465,0.21395,1.33457,1.42104,1.21264,0.00047035,0.00047035,0.00047035
109,12628.1,1.32056,1.38015,1.21311,0.49064,0.38147,0.36458,0.21398,1.33468,1.42098,1.21274,0.0004654,0.0004654,0.0004654
110,12744.1,1.31787,1.37349,1.21242,0.49112,0.38131,0.36463,0.21398,1.33468,1.42097,1.21288,0.00046045,0.00046045,0.00046045
111,12859.8,1.31665,1.37629,1.21135,0.49459,0.37984,0.36461,0.2139,1.33433,1.4206,1.21288,0.0004555,0.0004555,0.0004555
112,12975.8,1.31869,1.38523,1.21377,0.49395,0.38075,0.36492,0.21385,1.33432,1.42054,1.213,0.00045055,0.00045055,0.00045055
113,13091.5,1.31084,1.3644,1.2081,0.49405,0.3806,0.36464,0.2137,1.33432,1.42037,1.21324,0.0004456,0.0004456,0.0004456
114,13207.6,1.31781,1.37377,1.21012,0.49426,0.38065,0.36503,0.21362,1.3343,1.41979,1.21327,0.00044065,0.00044065,0.00044065
115,13323.7,1.30871,1.36639,1.2083,0.494,0.38022,0.36505,0.21373,1.33445,1.41955,1.21341,0.0004357,0.0004357,0.0004357
116,13439.4,1.31398,1.37098,1.21089,0.49179,0.38086,0.36487,0.21355,1.33468,1.4196,1.21363,0.00043075,0.00043075,0.00043075
117,13555.4,1.3121,1.36928,1.21016,0.49279,0.37984,0.36453,0.21352,1.33457,1.41931,1.21357,0.0004258,0.0004258,0.0004258
118,13671.7,1.30743,1.3615,1.20582,0.49223,0.37972,0.36469,0.21378,1.33492,1.4193,1.2138,0.00042085,0.00042085,0.00042085
119,13788.1,1.30831,1.3526,1.20366,0.49275,0.37982,0.36508,0.21367,1.33553,1.41936,1.21415,0.0004159,0.0004159,0.0004159
120,13903.9,1.30769,1.36037,1.20598,0.49293,0.37948,0.36491,0.2139,1.33553,1.41935,1.21407,0.00041095,0.00041095,0.00041095
121,14019.8,1.30353,1.36109,1.20384,0.49414,0.37844,0.3649,0.21385,1.33591,1.41944,1.2142,0.000406,0.000406,0.000406
122,14136.3,1.30561,1.35599,1.20675,0.49386,0.37982,0.36521,0.21389,1.33639,1.41947,1.21444,0.00040105,0.00040105,0.00040105
123,14252.8,1.29947,1.35047,1.2019,0.49324,0.37967,0.3651,0.214,1.33665,1.41947,1.21466,0.0003961,0.0003961,0.0003961
124,14368.8,1.29961,1.34867,1.20024,0.49093,0.38182,0.3653,0.21401,1.33682,1.41968,1.21478,0.00039115,0.00039115,0.00039115
125,14485.1,1.30201,1.34986,1.20324,0.49141,0.38252,0.36521,0.21388,1.33673,1.41982,1.21461,0.0003862,0.0003862,0.0003862
126,14601,1.29423,1.34684,1.19913,0.49223,0.38078,0.36536,0.21399,1.33661,1.41988,1.21471,0.00038125,0.00038125,0.00038125
127,14717.3,1.30196,1.34972,1.2034,0.49223,0.38099,0.36507,0.21387,1.33691,1.4201,1.21483,0.0003763,0.0003763,0.0003763
128,14833.2,1.29468,1.33908,1.19787,0.49185,0.3797,0.36509,0.21391,1.33734,1.42022,1.21514,0.00037135,0.00037135,0.00037135
129,14949.2,1.2968,1.34397,1.2002,0.49358,0.38074,0.36578,0.21398,1.33767,1.4206,1.21531,0.0003664,0.0003664,0.0003664
130,15064.6,1.29241,1.34101,1.19843,0.49368,0.38093,0.36577,0.21404,1.33786,1.42063,1.21549,0.00036145,0.00036145,0.00036145
131,15180.3,1.29287,1.34429,1.19825,0.49195,0.38101,0.36583,0.21382,1.33818,1.42068,1.21572,0.0003565,0.0003565,0.0003565
132,15296.2,1.28843,1.33538,1.19705,0.49357,0.38054,0.36612,0.21391,1.33816,1.42054,1.21573,0.00035155,0.00035155,0.00035155
